borough,date,year,month,crime_count,population,crime_per_1000,claimant_count,claimant_per_1000,population_density,imd_value
Bexley,2022-08-01,2022,8,1315.0,247875,5.305093292990419,4630,18.678769541099342,4126.712501750559,15.88236301369863
Bexley,2022-09-01,2022,9,1355.0,247875,5.466464952092789,4645,18.73928391326273,4126.712501750559,15.88236301369863
Bexley,2022-10-01,2022,10,1330.0,247875,5.365607665153807,4705,18.981341401916286,4126.712501750559,15.88236301369863
Bexley,2022-11-01,2022,11,1359.0,247875,5.482602118003025,4745,19.142713061018657,4126.712501750559,15.88236301369863
Bexley,2022-12-01,2022,12,1156.0,247875,4.6636409480584975,4705,18.981341401916286,4126.712501750559,15.88236301369863
Bexley,2023-01-01,2023,1,1350.0,252124,5.354508099189288,4565,18.106169979851185,4126.712501750559,15.88236301369863
Bexley,2023-02-01,2023,2,1303.0,252124,5.168091891291587,4540,18.00701242245879,4126.712501750559,15.88236301369863
Bexley,2023-03-01,2023,3,1373.0,252124,5.445733051990291,4615,18.30448509463597,4126.712501750559,15.88236301369863
Bexley,2023-04-01,2023,4,1346.0,252124,5.338642890006504,4850,19.23656613412448,4126.712501750559,15.88236301369863
Bexley,2023-05-01,2023,5,1427.0,252124,5.659913375957862,4760,18.87959892751186,4126.712501750559,15.88236301369863
Bexley,2023-06-01,2023,6,1357.0,252124,5.382272215259158,4890,19.39521822595231,4126.712501750559,15.88236301369863
Bexley,2023-07-01,2023,7,1387.0,252124,5.501261284130032,4955,19.653027875172533,4126.712501750559,15.88236301369863
Bexley,2023-08-01,2023,8,1393.0,252124,5.525059097904206,4935,19.57370182925862,4126.712501750559,15.88236301369863
Bexley,2023-09-01,2023,9,1430.0,252124,5.671812282844949,4925,19.534038806301663,4126.712501750559,15.88236301369863
Bexley,2023-10-01,2023,10,1336.0,252124,5.298979867049547,4955,19.653027875172533,4126.712501750559,15.88236301369863
Bexley,2023-11-01,2023,11,1416.0,252124,5.616284050705208,4905,19.454712760387746,4126.712501750559,15.88236301369863
Bexley,2023-12-01,2023,12,1431.0,252124,5.6757785851406455,4980,19.752185432564925,4126.712501750559,15.88236301369863
Bexley,2024-01-01,2024,1,1423.0,256434,5.54918614536294,4950,19.303212522520415,4126.712501750559,15.88236301369863
Bexley,2024-02-01,2024,2,1307.0,256434,5.096828033724076,5125,19.985649328872146,4126.712501750559,15.88236301369863
Bexley,2024-03-01,2024,3,1484.0,256434,5.787064117862686,5155,20.1026384956753,4126.712501750559,15.88236301369863
Bexley,2024-04-01,2024,4,1421.0,256434,5.541386867576063,5000,19.498194467192338,4126.712501750559,15.88236301369863
Bexley,2024-05-01,2024,5,1354.0,256434,5.280111061715685,5125,19.985649328872146,4126.712501750559,15.88236301369863
Bexley,2024-06-01,2024,6,1480.0,256434,5.771465562288932,5220,20.356115023748803,4126.712501750559,15.88236301369863
Bexley,2024-07-01,2024,7,1499.0,256434,5.845558701264262,5625,21.935468775591378,4126.712501750559,15.88236301369863
Bexley,2024-08-01,2024,8,1437.0,256434,5.603781089871078,5635,21.974465164525768,4126.712501750559,15.88236301369863
Bexley,2024-09-01,2024,9,1305.0,256434,5.089028755937201,5710,22.266938081533652,4126.712501750559,15.88236301369863
Bexley,2024-10-01,2024,10,1451.0,256434,5.658376034379216,5740,22.383927248336803,4126.712501750559,15.88236301369863
Bexley,2024-11-01,2024,11,1394.0,256434,5.436096617453224,5580,21.75998502538665,4126.712501750559,15.88236301369863
Bexley,2024-12-01,2024,12,1192.0,256434,4.6483695609786535,5575,21.74048683091946,4126.712501750559,15.88236301369863
Brent,2019-01-01,2019,1,2466.0,347424,7.097955236253108,5105,14.693861103435571,7791.775458896943,25.19985549132948
Brent,2019-02-01,2019,2,2351.0,347424,6.7669475914156765,5185,14.924127291148567,7791.775458896943,25.19985549132948
Brent,2019-03-01,2019,3,2625.0,347424,7.5556092843326885,5565,16.0178916827853,7791.775458896943,25.19985549132948
Brent,2019-04-01,2019,4,2374.0,347424,6.833149120383163,5880,16.924564796905223,7791.775458896943,25.19985549132948
Brent,2019-05-01,2019,5,2536.0,347424,7.29943815050198,6025,17.34192226213503,7791.775458896943,25.19985549132948
Brent,2019-06-01,2019,6,2570.0,347424,7.397301280280003,6330,18.219812102790826,7791.775458896943,25.19985549132948
